rank	cmap name	mean	n	enrichment	p	specificity	percent non-null	
228	procainamide	-0.271	4	-0.459	0.26768	0.3212	50	
229	ritodrine	-0.235	4	-0.458	0.26987	0.2	50	
232	oxybuprocaine	-0.311	4	-0.458	0.27235	0.3427	50	
670	promazine	-0.086	6	-0.456	---	---	16	
237	ellipticine	-0.348	4	-0.455	0.27785	0.5115	50	
238	xylazine	-0.339	4	-0.455	0.27816	0.3105	50	
46	PNU-0230031	-0.16	8	-0.453	0.05141	0.099	50	
239	ergocalciferol	-0.259	4	-0.453	0.28244	0.2685	50	
244	dipivefrine	-0.189	4	-0.451	0.28901	0.2632	50	
170	naltrexone	-0.218	5	-0.45	0.19333	0.3146	60	
245	tiabendazole	-0.31	4	-0.45	0.29133	0.5243	50	
676	methacholine chloride	-0.17	3	-0.45	---	---	33	
253	digitoxigenin	-0.373	4	-0.446	0.30007	0.451	50	
254	diclofenamide	-0.135	4	-0.446	0.30044	0.2663	50	
176	sulfamethoxypyridazine	-0.323	5	-0.445	0.20266	0.4852	60	
120	beta-escin	-0.24	6	-0.444	0.13545	0.2314	66	
179	meticrane	-0.405	5	-0.444	0.20475	0.6537	60	
443	mercaptopurine	-0.335	2	-0.444	0.70064	0.7055	50	
122	fenoprofen	-0.447	6	-0.443	0.13706	0.4796	66	
685	ascorbic acid	-0.137	4	-0.443	---	---	25	
686	calycanthine	-0.073	4	-0.441	---	---	25	
687	budesonide	-0.122	4	-0.441	---	---	25	
261	dyclonine	-0.299	4	-0.44	0.31636	0.3015	50	
689	nicardipine	-0.174	4	-0.44	---	---	25	
126	ethotoin	-0.412	6	-0.439	0.14314	0.4398	66	
187	metrifonate	-0.329	5	-0.439	0.21622	0.2245	60	
263	16-phenyltetranorprostaglandin E2	-0.148	4	-0.439	0.31877	0.2738	50	
450	5248896	-0.234	2	-0.439	0.71267	0.8618	50	
690	famotidine	-0.242	5	-0.439	---	---	40	
264	rolitetracycline	-0.333	4	-0.438	0.32085	0.4972	50	
695	cefapirin	-0.128	4	-0.438	---	---	25	
188	equilin	-0.119	5	-0.437	0.22031	0.2391	60	
696	esculin	-0.151	4	-0.437	---	---	25	
697	mesalazine	-0.194	5	-0.437	---	---	40	
267	pancuronium bromide	-0.339	4	-0.436	0.32819	0.4392	50	
699	cefalotin	-0.18	4	-0.436	---	---	25	
700	tolfenamic acid	-0.144	4	-0.436	---	---	25	
701	cloperastine	-0.124	6	-0.436	---	---	16	
269	fosfosal	-0.324	4	-0.435	0.3312	0.3333	50	
347	PHA-00846566E	-0.142	3	-0.435	0.49838	0.5	66	
270	papaverine	-0.228	4	-0.434	0.33251	0.3837	50	
194	morantel	-0.376	5	-0.433	0.2293	0.6095	60	
353	proguanil	-0.129	3	-0.433	0.50391	0.4815	66	
134	flumetasone	-0.306	6	-0.432	0.15528	0.2574	66	
195	testosterone	-0.204	5	-0.432	0.23068	0.2258	60	
271	R-atenolol	-0.316	4	-0.432	0.33707	0.2011	50	
703	myosmine	-0.049	6	-0.432	---	---	33	
704	levonorgestrel	-0.194	6	-0.432	---	---	33	
136	helveticoside	-0.349	6	-0.431	0.15792	0.2987	66	
272	levocabastine	-0.149	4	-0.431	0.34025	0.3737	50	
359	albendazole	-0.339	3	-0.431	0.50847	0.5786	66	
706	paroxetine	-0.167	4	-0.431	---	---	25	
274	pregnenolone	-0.052	4	-0.43	0.34339	0.3503	50	
711	arachidonic acid	-0.157	3	-0.429	---	---	33	
370	oxytetracycline	-0.069	3	-0.428	0.51945	0.515	66	
713	trimetazidine	-0.152	4	-0.428	---	---	25	
714	pridinol	-0.159	4	-0.428	---	---	25	
716	zaprinast	0	4	-0.428	---	---	25	
718	nifenazone	0.011	5	-0.428	---	---	20	
277	alverine	-0.257	4	-0.427	0.35274	0.2782	50	
279	protriptyline	-0.356	4	-0.427	0.35441	0.4662	50	
720	CP-320650-01	-0.109	8	-0.426	---	---	12	
721	methocarbamol	-0.149	3	-0.426	---	---	33	
280	N6-methyladenosine	-0.153	4	-0.425	0.35736	0.3862	50	
281	fluvoxamine	-0.242	4	-0.425	0.35988	0.4152	50	
465	menadione	-0.318	2	-0.425	0.75496	0.8161	50	
723	josamycin	0.139	5	-0.425	---	---	0	
727	chrysin	-0.186	3	-0.423	---	---	33	
728	prilocaine	0	6	-0.422	---	---	0	
729	Prestwick-1085	-0.12	4	-0.422	---	---	25	
284	etanidazole	-0.342	4	-0.421	0.37001	0.4973	50	
286	dioxybenzone	-0.255	4	-0.42	0.3716	0.4731	50	
287	cefoxitin	-0.347	4	-0.42	0.37214	0.3353	50	
733	methylergometrine	-0.129	4	-0.42	---	---	25	
289	Prestwick-689	-0.328	4	-0.419	0.37498	0.4686	50	
291	Prestwick-675	-0.147	4	-0.418	0.3789	0.6443	50	
292	zomepirac	-0.33	4	-0.418	0.3795	0.5619	50	
470	5230742	-0.259	2	-0.418	0.77552	0.847	50	
736	spiradoline	0	4	-0.416	---	---	0	
301	hexestrol	-0.332	4	-0.415	0.38785	0.6496	50	
737	isoconazole	-0.241	5	-0.415	---	---	40	
234	diclofenac	-0.296	5	-0.414	0.27448	0.2609	60	
387	betamethasone	-0.119	3	-0.414	0.55659	0.5105	66	
303	amiprilose	-0.231	4	-0.413	0.39344	0.3647	50	
740	cefotiam	0.073	4	-0.412	---	---	25	
175	dicoumarol	-0.308	6	-0.411	0.19991	0.1056	50	
85	PHA-00851261E	-0.252	8	-0.41	0.10135	0.2235	50	
306	profenamine	-0.09	4	-0.41	0.40315	0.2188	50	
308	brinzolamide	-0.159	4	-0.41	0.40363	0.4649	50	
742	diltiazem	-0.248	5	-0.41	---	---	40	
395	ionomycin	-0.131	3	-0.408	0.57141	0.6148	66	
744	moracizine	-0.146	4	-0.407	---	---	25	
248	hyoscyamine	-0.241	5	-0.406	0.29228	0.3817	60	
250	clemizole	-0.353	5	-0.406	0.29328	0.4218	60	
310	velnacrine	-0.192	4	-0.406	0.41497	0.3432	50	
185	phenelzine	-0.366	6	-0.405	0.21205	0.1556	66	
312	5707885	-0.273	4	-0.405	0.41932	0.4538	50	
398	AH-23848	-0.296	3	-0.405	0.57958	0.6066	66	
748	gliquidone	0	4	-0.405	---	---	0	
314	estriol	-0.319	4	-0.404	0.42203	0.6733	50	
754	celecoxib	0.015	5	-0.403	---	---	20	
317	chlorprothixene	-0.31	4	-0.402	0.42736	0.3265	50	
757	chlorzoxazone	-0.148	4	-0.402	---	---	25	
319	norethisterone	-0.301	4	-0.401	0.43094	0.5488	50	
760	metolazone	-0.222	5	-0.401	---	---	40	
139	6-bromoindirubin-3'-oxime	-0.259	7	-0.4	0.16143	0.472	57	
321	mebeverine	-0.178	4	-0.4	0.43359	0.4252	50	
761	PNU-0251126	-0.134	6	-0.4	---	---	33	
765	conessine	-0.175	4	-0.397	---	---	25	
323	promethazine	-0.299	4	-0.396	0.44779	0.5179	50	
766	minocycline	-0.238	5	-0.396	---	---	40	
769	piperacetazine	-0.151	4	-0.396	---	---	25	
325	cefixime	-0.135	4	-0.395	0.44994	0.4279	50	
771	trimethobenzamide	0.127	5	-0.395	---	---	0	
773	lobeline	-0.13	4	-0.394	---	---	25	
774	betulinic acid	0.032	4	-0.394	---	---	25	
266	etodolac	-0.196	5	-0.393	0.32777	0.3409	60	
328	sulconazole	-0.316	4	-0.393	0.45623	0.7368	50	
329	Prestwick-1084	-0.332	4	-0.393	0.45666	0.8326	50	
775	tolnaftate	0	5	-0.393	---	---	0	
211	mexiletine	-0.288	6	-0.392	0.24506	0.2588	50	
268	cefalexin	-0.341	5	-0.392	0.33005	0.7037	60	
332	parbendazole	-0.31	4	-0.392	0.45965	0.5249	50	
778	seneciphylline	-0.158	4	-0.392	---	---	25	
781	eticlopride	0.105	4	-0.392	---	---	25	
333	ethaverine	-0.33	4	-0.391	0.46223	0.5223	50	
334	nadide	-0.259	4	-0.391	0.46343	0.4767	50	
784	prednisone	-0.107	5	-0.39	---	---	20	
786	bufexamac	-0.175	4	-0.39	---	---	25	
787	risperidone	-0.265	3	-0.39	---	---	33	
273	proglumide	-0.306	5	-0.389	0.34142	0.3115	60	
788	metyrapone	-0.126	4	-0.389	---	---	25	
789	ronidazole	-0.16	3	-0.389	---	---	33	
791	etacrynic acid	-0.19	3	-0.388	---	---	33	
792	heptaminol	0.134	5	-0.388	---	---	0	
793	rescinnamine	-0.213	3	-0.388	---	---	33	
794	levobunolol	0.124	4	-0.387	---	---	0	
795	todralazine	-0.17	5	-0.387	---	---	20	
276	diflunisal	-0.009	5	-0.386	0.35052	0.3564	60	
798	enalapril	-0.15	4	-0.386	---	---	25	
338	Prestwick-1080	-0.193	4	-0.385	0.48111	0.5922	50	
802	Prestwick-967	0	4	-0.385	---	---	0	
341	deptropine	-0.271	4	-0.384	0.48718	0.6269	50	
342	thiostrepton	-0.351	4	-0.383	0.48877	0.6389	50	
805	benzethonium chloride	-0.208	3	-0.383	---	---	33	
808	pirlindole	-0.184	3	-0.383	---	---	33	
345	phenacetin	-0.279	4	-0.382	0.49239	0.5055	50	
809	sulfathiazole	-0.216	5	-0.382	---	---	40	
810	dequalinium chloride	-0.211	4	-0.382	---	---	25	
812	tyloxapol	-0.197	4	-0.382	---	---	25	
346	terconazole	-0.158	4	-0.381	0.49697	0.4186	50	
814	etomidate	-0.19	3	-0.381	---	---	33	
815	gelsemine	-0.049	4	-0.381	---	---	25	
816	calcium folinate	0.093	5	-0.381	---	---	0	
283	cinchocaine	-0.334	5	-0.38	0.36672	0.534	60	
349	clomipramine	-0.308	4	-0.38	0.50047	0.6794	50	
818	torasemide	-0.209	4	-0.38	---	---	25	
819	canavanine	-0.261	3	-0.38	---	---	33	
285	pirenzepine	-0.088	5	-0.379	0.37116	0.3558	60	
350	denatonium benzoate	-0.301	4	-0.379	0.50104	0.6839	50	
352	propylthiouracil	-0.24	4	-0.379	0.50313	0.75	50	
356	flunarizine	-0.31	4	-0.378	0.50687	0.6061	50	
357	ketorolac	-0.303	4	-0.378	0.50731	0.6237	50	
821	15-delta prostaglandin J2	-0.284	15	-0.378	---	---	46	
822	solasodine	-0.127	6	-0.378	---	---	16	
358	talampicillin	-0.363	4	-0.377	0.50773	0.6791	50	
823	amylocaine	-0.286	5	-0.377	---	---	40	
828	BCB000040	-0.124	4	-0.376	---	---	25	
366	ifenprodil	-0.326	4	-0.375	0.51527	0.7471	50	
367	galantamine	-0.216	4	-0.375	0.51654	0.5568	50	
368	molindone	-0.278	4	-0.375	0.51712	0.6823	50	
369	corbadrine	-0.143	4	-0.375	0.51762	0.6149	50	
832	etamsylate	-0.183	4	-0.375	---	---	25	
835	pivmecillinam	0	4	-0.373	---	---	0	
837	benzbromarone	0.219	3	-0.372	---	---	0	
373	(+)-isoprenaline	-0.168	4	-0.371	0.53039	0.4538	50	
374	aminohippuric acid	-0.333	4	-0.371	0.53146	0.7315	50	
375	phenazopyridine	-0.322	4	-0.371	0.53192	0.5949	50	
482	alcuronium chloride	-0.271	2	-0.371	0.88282	0.9209	50	
377	saquinavir	-0.116	4	-0.369	0.53797	0.5682	50	
378	terbutaline	-0.028	4	-0.369	0.53896	0.3649	50	
844	betaxolol	-0.123	4	-0.368	---	---	25	
845	hydroquinine	-0.016	4	-0.368	---	---	25	
380	nicotinic acid	-0.263	4	-0.367	0.54256	0.5449	50	
383	cisapride	-0.312	4	-0.367	0.5457	0.4762	50	
846	alprostadil	0.023	7	-0.367	---	---	28	
847	glibenclamide	-0.153	4	-0.367	---	---	25	
384	alimemazine	-0.261	4	-0.366	0.54807	0.5782	50	
849	quipazine	0	4	-0.366	---	---	0	
851	fluoxetine	0	4	-0.366	---	---	0	
385	paracetamol	-0.345	4	-0.365	0.55	0.6067	50	
386	napelline	-0.16	4	-0.364	0.5535	0.6836	50	
853	6-azathymine	-0.162	4	-0.364	---	---	25	
388	cinoxacin	-0.31	4	-0.363	0.55979	0.6503	50	
854	flavoxate	-0.177	4	-0.363	---	---	25	
316	oleandomycin	-0.201	5	-0.362	0.42649	0.5217	60	
856	nocodazole	0	6	-0.362	---	---	0	
858	mebendazole	-0.239	5	-0.362	---	---	40	
392	adrenosterone	-0.251	4	-0.361	0.56691	0.6609	50	
859	terazosin	0.041	4	-0.361	---	---	25	
860	Prestwick-665	-0.154	5	-0.36	---	---	40	
861	adenosine phosphate	0.082	4	-0.36	---	---	25	
394	nipecotic acid	-0.317	4	-0.359	0.57063	0.7713	50	
486	calmidazolium	-0.27	2	-0.359	0.90493	0.9344	50	
862	glimepiride	-0.14	4	-0.359	---	---	25	
863	tetracycline	-0.102	5	-0.359	---	---	40	
396	piretanide	-0.145	4	-0.357	0.57698	0.7222	50	
864	(+)-chelidonine	0	4	-0.357	---	---	0	
865	cytisine	0	4	-0.357	---	---	0	
866	nordihydroguaiaretic acid	-0.231	15	-0.357	---	---	40	
399	acetylsalicylsalicylic acid	-0.279	4	-0.356	0.58356	0.6349	50	
869	azacyclonol	-0.012	5	-0.356	---	---	20	
400	cinnarizine	-0.259	4	-0.354	0.58961	0.6286	50	
402	cyclopenthiazide	0.038	4	-0.352	0.59573	0.6054	50	
403	7-aminocephalosporanic acid	-0.184	4	-0.352	0.59631	0.5652	50	
404	amikacin	-0.16	4	-0.352	0.59824	0.7588	50	
871	chloropyrazine	0	4	-0.352	---	---	0	
873	isocorydine	-0.138	4	-0.352	---	---	25	
405	citalopram	-0.144	4	-0.351	0.6014	0.6597	50	
875	AG-028671	-0.232	3	-0.351	---	---	33	
406	cefmetazole	-0.124	4	-0.35	0.60184	0.5319	50	
878	tetrandrine	-0.165	4	-0.35	---	---	25	
879	pralidoxime	0	4	-0.349	---	---	0	
337	amiloride	-0.254	5	-0.348	0.47914	0.5365	60	
410	tacrine	-0.12	4	-0.348	0.6105	0.3791	50	
880	bepridil	-0.182	4	-0.348	---	---	25	
881	carmustine	-0.044	3	-0.348	---	---	33	
411	arcaine	-0.116	4	-0.347	0.61366	0.6824	50	
412	pseudopelletierine	-0.287	4	-0.347	0.61366	0.7389	50	
883	colchicine	-0.198	6	-0.347	---	---	33	
884	novobiocin	-0.204	9	-0.347	---	---	44	
888	vitexin	0	4	-0.346	---	---	0	
891	ethoxyquin	-0.103	5	-0.346	---	---	40	
415	colecalciferol	-0.305	4	-0.345	0.61891	0.538	50	
416	etofenamate	-0.18	4	-0.345	0.61891	0.7121	50	
490	AH-6809	-0.282	2	-0.345	0.92777	0.9553	50	
892	bromocriptine	-0.098	5	-0.345	---	---	20	
894	verapamil	-0.094	6	-0.345	---	---	16	
896	Prestwick-664	-0.194	6	-0.344	---	---	33	
208	dexamethasone	-0.146	8	-0.343	0.24388	0.2555	50	
898	methapyrilene	-0.107	4	-0.343	---	---	25	
492	docosahexaenoic acid ethyl ester	-0.057	2	-0.342	0.93201	0.9407	50	
899	fenoterol	-0.158	3	-0.342	---	---	33	
421	chlorambucil	-0.145	4	-0.341	0.63562	0.6558	50	
901	oxybenzone	0	4	-0.341	---	---	0	
903	nadolol	0.182	4	-0.341	---	---	0	
905	estropipate	-0.137	4	-0.341	---	---	25	
906	felbinac	0.147	4	-0.34	---	---	0	
